region,ch_mort_rural,per_capita_cash_income,real_incomes,formal_wage_paid,real_pay,ch_mort_urban,total,18_30,31_40,41_50,51_60,60_,alco,drug,grp,all_some_tightness,all_large_tightness,total_area_for_person,living_area_for_person,living_room_count,cond_want_to_improve,improve_tightness,improve_bad_&_tightness_cond,new_born,population,poverty_percent,poverty_under_sixteen,poverty_above_working_age,poverty_working_age,manufacturing_industries_till_2016,energy_provision_till_2016,mining_till_2016,water_supply,mining,energy_provision,manufacturing_industries,industrial_production,retail_turnover,welfare_mean,Pergnancy_period,eye_diseases,muscul_&_connective_tissue_diseases,genitourinary_sys_diseases,nervous_sys_diseases,respiratory_diseases,digestive_sys_diseases,circulastory_sys_diseases,ear_diseases,endocrine_sys_diseases,malformations,all_diseases,infectious,neoplasms,perinatal_period,other_diseases,mental_diseases,injuries,area,population_density,population_general_growth,population_natural_growth,population_migration_growth,urban_population_share,rural_per_1000_city,migration_in,migration_out,new_born_for_1000
Республика Ингушетия,55.73684210526316,16064.166666666666,98.25,24857.333333333332,100.03333333333332,70.41,55498.84375,6624.046875,6869.171875,12515.953125,15937.4375,13552.234375,1.09,3.62,57095.11,5.0,0.0,38.2,27.8,4.9,4.6,0.4,0.0,8099.998,484452.7,50.49615384615385,40.36666666666667,8.799999999999999,50.800000000000004,1608993.5033333332,1151699.3916666666,810031.225,587482.925,1163110.425,1183899.9375,2084606.875,5019100.1625,48984.875,26.0,40568.399999999994,44487.72222222222,37894.68888888889,29126.222222222223,32516.82222222222,232261.2888888889,72713.66666666666,38200.46666666666,23104.055555555555,14911.111111111111,557.3555555555555,741681.3166666667,42801.666666666664,3146.222222222222,7807.111111111111,68268.58571428571,572.7777777777778,49353.28888888889,3.6,144.4,8494.0,6321.0,2173.0,44.23,0.36,7889.0,5716.0,16.719894429321997
Кабардино-Балкарская Республика,45.68421052631579,20569.666666666668,98.83333333333333,24720.166666666668,100.51666666666667,66.19,56662.09375,3804.203125,5019.453125,7246.375,13832.234375,26759.828125,79.67,23.37,84900.38,26.1,3.0,25.8,18.9,3.3,13.0,11.3,0.5,10948.196,864483.5,29.292307692307695,35.13333333333333,12.4,52.5,22750570.37333333,6757558.425000001,162456.30833333332,1335262.55,323572.94999999995,9138004.9,32968677.869999997,43765518.245,150254.0,23.0,11239.5,14866.822222222223,8581.533333333333,15579.0,10751.133333333333,202079.0888888889,40223.666666666664,8507.477777777778,12416.211111111112,13753.58888888889,2093.8555555555554,460025.63333333336,12677.466666666665,2330.722222222222,3939.966666666667,23890.1,2142.9555555555553,57991.92222222222,12.5,69.8,1296.0,1046.0,250.0,48.0,0.6,10324.0,10074.0,12.664436047651575
Карачаево-Черкесская Республика,27.63157894736842,18200.166666666668,96.46666666666665,24490.833333333332,101.10000000000001,32.28,50729.140625,3784.125,4898.234375,7683.21875,13059.609375,21303.953125,61.13,21.38,84695.49,23.2,5.8,24.3,18.3,2.9,25.1,14.0,1.7,5184.992,467194.5,31.63076923076923,37.36666666666667,9.966666666666667,52.666666666666664,20630553.966666665,4749374.458333333,1542925.625,1281382.0,2770560.175,9519976.8,29686571.650000002,43258490.625,82096.0,21.0,18545.277777777777,33072.711111111115,20271.355555555554,29323.94444444444,16919.48888888889,261594.55555555553,25670.355555555558,18157.466666666667,22407.622222222224,10622.366666666667,2615.111111111111,568137.9222222222,25463.88888888889,4291.7,6094.688888888888,26602.957142857143,2122.111111111111,33606.47777777778,14.3,32.5,-1138.0,-1178.0,40.0,57.09,0.32,11987.0,11947.0,11.09814434887397
Республика Северная Осетия-Алания,30.05263157894737,23077.5,97.98333333333333,25829.333333333332,101.43333333333334,65.25,62072.515625,2913.921875,3940.265625,6606.09375,13072.390625,35539.84375,61.92,7.99,102162.87,18.5,12.7,23.7,16.4,3.1,11.2,4.8,2.2,8954.8,700145.4,21.97307692307692,34.666666666666664,10.266666666666667,55.1,16714006.906666666,5537138.0825000005,404558.3708333333,1569211.8000000003,674591.775,9059991.525,21136800.55,32440595.65,159209.5,21.0,12942.344444444447,20019.044444444447,16165.2,9526.188888888888,7038.0888888888885,150938.03333333335,9419.211111111112,7398.277777777778,14182.277777777777,2568.511111111111,1852.5888888888887,327561.43333333335,9010.8,1651.1777777777777,5054.355555555556,5803.371428571429,1182.2444444444443,41436.777777777774,8.0,86.2,-4974.0,-1764.0,-3210.0,35.77,0.47,7014.0,10224.0,12.789914780558437
Чеченская Республика,271.8421052631579,23330.5,99.10000000000001,25364.0,99.58333333333333,127.69,162238.546875,24248.171875,37357.90625,39573.0625,35063.5,25995.90625,19.39,10.08,59785.5,18.2,1.4,24.6,19.2,4.3,19.1,9.6,0.4,29584.379999999997,1423754.7,9.405555555555557,46.79999999999999,6.8,46.4,4133295.090000001,7446640.7,4772791.39,1735623.35,5169622.175,19031511.15,10858456.4,36795213.075,114393.5,27.0,14057.322222222223,31720.144444444446,13613.955555555556,24004.5,18783.266666666666,153287.15555555554,24330.17777777778,27080.177777777775,23017.811111111114,8169.055555555555,821.7444444444445,430589.6388888889,18113.411111111112,2033.0222222222221,2061.5444444444447,35084.985714285714,2163.111111111111,26375.277777777777,15.6,96.9,18395.0,20569.0,-2174.0,61.97,1.04,14505.0,16679.0,20.779127190940965
Ставропольский край,124.0,22733.166666666668,96.60000000000001,28220.5,100.78333333333335,199.72,211662.6507936508,9481.396825396825,14515.746031746032,22126.349206349205,44110.555555555555,121428.60317460318,52.27,17.43,120022.12,14.1,3.1,26.9,19.0,2.8,16.2,7.5,0.5,31012.190000000002,2796323.6,24.930769230769233,39.06666666666666,5.333333333333333,55.56666666666666,146221559.61666667,54364569.515000015,7064759.045833333,11092583.875,10890881.375,77458091.94999999,290906191.5,390347748.75,179641.75,26.0,20815.81111111111,22931.344444444447,15924.755555555555,28514.37777777778,15730.144444444444,368620.4555555556,21318.555555555555,13023.866666666667,15083.266666666666,6639.777777777777,2665.366666666667,667523.4444444445,23006.36666666667,4312.022222222222,6137.377777777778,26541.2,2672.9777777777776,69156.95555555556,66.2,42.0,-12592.0,-15564.0,2972.0,40.66,1.91,74516.0,71544.0,11.090343764219565
Республика Башкортостан,178.52631578947367,28903.333333333332,97.21666666666668,32225.0,102.11666666666667,334.19,250072.375,11407.53125,16441.484375,20459.15625,41559.578125,160204.625,100.58,9.46,186549.52,17.9,4.5,23.3,17.4,2.4,16.8,7.9,0.3,47044.581999999995,4050859.1,17.692307692307693,40.1,5.833333333333333,54.099999999999994,705715702.0341667,77716106.07833333,126270436.49083333,25599343.475,267563216.325,132644913.7675,1203815317.3700001,1629622790.9374998,214527.5,19.0,18644.208333333332,20783.083333333332,18576.358333333334,24834.541666666664,15983.724999999999,201434.5,29177.725,11440.741666666665,14572.933333333332,8385.725,712.9666666666667,469550.04545454547,14696.816666666668,3009.0666666666666,4038.683333333333,8274.9875,2811.5833333333335,51963.775,142.9,28.0,-12108.0,-26674.0,14566.0,37.1,2.75,147699.0,133133.0,11.613482680747891
Республика Марий Эл,27.894736842105264,19778.333333333332,98.05,26877.5,101.75,47.59,61982.296875,2697.96875,3903.234375,4791.671875,10437.953125,40151.46875,125.17,6.55,119959.91,13.2,5.8,24.1,16.5,2.4,19.7,9.0,1.0,7692.794,682593.6,35.107692307692304,36.3,4.666666666666667,59.03333333333333,72089696.67416666,8614961.415000001,308011.85833333334,5623352.95,736715.275,11831215.7775,153565910.3975,171757194.4,126086.25,21.0,16495.158333333333,20247.316666666666,19415.558333333334,19463.683333333334,14829.241666666669,234661.8,20745.291666666668,7267.425,11279.716666666667,7286.408333333335,1243.3250000000003,473913.3856060606,19147.64166666667,3390.55,2300.025,8177.012500000001,3346.633333333333,48358.125,23.4,28.7,-3877.0,-4837.0,960.0,32.02,0.46,20969.0,20009.0,11.269947447500241
Республика Мордовия,17.473684210526315,18784.166666666668,99.14999999999999,26038.0,102.38333333333333,48.06,68442.4375,2426.140625,3976.15625,5866.15625,12985.671875,43188.3125,133.36,7.59,129067.2,9.6,3.8,26.2,20.0,2.7,6.1,3.3,0.0,6600.99,799599.9,29.63076923076923,33.36666666666667,7.5,59.20000000000001,89569408.15750001,9645353.6225,165807.36666666664,4474408.025,94286.04999999999,12515915.0,200033500.375,217118109.425,114001.0,18.0,17626.45,18485.166666666668,15278.891666666666,20689.416666666668,12936.983333333334,211151.59166666665,19712.091666666667,10882.283333333333,15708.425,7126.025000000001,1623.4083333333335,425218.85454545455,17323.041666666668,3253.25,2475.933333333333,7417.2125,4538.175,30442.524999999998,26.1,29.5,-8292.0,-9183.0,891.0,35.55,0.53,20204.0,19313.0,8.25536621502829
Республика Татарстан (Татарстан),81.26315789473684,33778.333333333336,98.43333333333334,34007.666666666664,100.85000000000001,315.19,281047.328125,12739.078125,18125.34375,24813.390625,53466.5625,171902.953125,76.77,11.97,275448.46,17.4,3.4,23.7,16.2,2.5,14.5,7.4,0.6,46951.384,3874560.3,13.38846153846154,40.666666666666664,8.933333333333334,50.4,814655251.6233335,92076514.88583334,320460850.40416664,37070421.074999996,625296919.375,139786086.1025,1853920125.825,2656073552.4775,228115.25,12.0,19398.824999999997,15924.941666666666,19337.641666666666,20363.708333333336,10263.666666666666,212879.2083333333,20103.1,11480.816666666668,13138.291666666668,6115.0,1589.2416666666668,458120.7992424242,17382.916666666664,2824.233333333333,4715.775000000001,19457.125,1771.3583333333333,50270.60833333334,67.8,57.3,-7725.0,-19173.0,11448.0,23.15,2.67,96759.0,85311.0,12.11786121898787
Удмуртская Республика,55.1578947368421,24368.833333333332,98.85000000000001,30437.0,102.60000000000001,131.03,103264.71875,4525.015625,7720.1875,9604.890625,17993.453125,63421.171875,112.39,10.12,185753.64,13.3,3.4,20.8,14.8,2.4,13.7,6.0,0.6,16913.0,1508540.9,20.923076923076923,40.666666666666664,7.466666666666666,51.866666666666674,164591516.29583335,25181899.531666666,104587955.0725,10125888.625,221480490.5,40183564.65,360656412.34000003,632446356.115,150757.625,19.0,32945.308333333334,17897.56666666667,14143.316666666664,20211.333333333336,12274.358333333334,287589.19166666665,20082.333333333336,7938.575000000001,15155.241666666667,3378.7666666666664,1819.9500000000003,538561.2825757575,24619.791666666668,3166.083333333334,2457.8,11118.275,2754.8416666666667,51822.34166666667,42.1,35.3,-8896.0,-8954.0,58.0,33.7,1.02,38819.0,38761.0,11.211495823547112
Чувашская Республика - Чувашия,32.578947368421055,18919.666666666668,98.88333333333333,26226.333333333332,102.11666666666666,77.94,77342.921875,3631.484375,5138.0,7219.0625,13658.078125,47696.296875,135.17,2.94,118592.18,20.0,8.0,20.7,14.2,2.3,27.2,14.2,0.3,13276.198,1227261.1,26.207692307692305,36.46666666666667,6.199999999999999,57.36666666666667,111298810.46166666,18346757.383333337,543062.1583333333,6453356.65,725413.175,25697725.0075,204777269.7675,237653764.60000002,126458.0,23.0,25945.68333333333,23717.975,19653.975,33403.74166666667,19126.350000000002,231299.45833333337,28007.65,11484.616666666665,20713.950000000004,11098.508333333333,5371.408333333333,533017.7484848484,20771.025,3633.0916666666662,1561.533333333333,8717.275,3546.866666666667,47901.99166666667,18.3,65.3,-9446.0,-9368.0,-78.0,35.81,0.82,36277.0,36355.0,10.817745302935128
Пермский край,90.26315789473684,29534.333333333332,96.31666666666666,34850.166666666664,101.98333333333333,254.78,201307.8125,8210.53125,13449.796875,16326.65625,28786.953125,134533.875,163.14,23.34,233702.96,12.3,3.1,22.7,16.0,2.4,15.1,5.3,0.4,30214.586,2614344.8,17.21153846153846,40.199999999999996,5.666666666666667,54.1,619639542.0841666,82067976.67,151549014.95,26809566.950000003,341889802.15,123513130.48,1070773341.0199999,1562985840.6,202080.5,22.0,19439.733333333337,19343.35,18252.866666666665,23144.35,11616.283333333333,267388.2916666666,25583.058333333334,7659.175,16142.95,7572.800000000001,3742.025,538495.7924242425,24551.116666666665,3415.8083333333334,4935.591666666666,9074.8125,4067.4833333333336,55271.00833333334,160.2,16.0,-22409.0,-19074.0,-3335.0,24.11,1.76,69223.0,72558.0,11.557230706523486
Кировская область,33.36842105263158,22453.333333333332,97.45,26929.0,102.11666666666667,99.75,121338.375,3628.625,6269.6875,7885.3125,16715.90625,86838.84375,116.49,3.87,121634.05,11.1,3.2,22.9,14.9,2.2,16.2,3.3,0.3,12923.198,1282621.3,24.096153846153847,37.166666666666664,5.6000000000000005,57.199999999999996,116681756.88833334,26595632.540000003,641998.9291666667,7252260.34,1719270.2149999999,40387686.115,231496545.42,280855762.09,151045.75,23.0,21446.333333333332,17729.825,15763.858333333334,13637.766666666666,7294.033333333333,261584.10833333334,12629.899999999998,6879.625,12243.025,7612.883333333333,917.9583333333333,468920.8666666667,20001.524999999998,2449.775,4094.333333333334,7188.0375,3750.291666666667,45221.025,120.4,10.3,-15393.0,-14034.0,-1359.0,21.35,0.85,42213.0,43572.0,10.075614680654375
Нижегородская область,64.73684210526316,31542.666666666668,97.25,31838.166666666668,100.59999999999998,279.69,284716.5,9706.953125,14261.125,19492.4375,40024.625,201231.359375,95.32,12.28,195429.78,16.5,2.7,24.0,17.5,2.3,8.8,3.9,0.2,32317.784000000003,3232264.7,16.303846153846152,36.900000000000006,8.733333333333333,54.4,765519563.6658334,72441871.18250002,1246256.4258333333,31076052.9,1645956.175,106809487.195,1371244527.14,1510776023.4099998,223176.125,21.0,12582.516666666666,18522.016666666666,19792.925,17621.533333333333,17045.716666666667,293145.3416666667,16837.841666666667,8394.175,16562.583333333336,4946.083333333334,2999.7833333333333,528734.4022727271,17281.383333333335,3529.6416666666664,1005.6166666666668,19345.975,2774.625,40974.683333333334,76.6,41.0,-32298.0,-36740.0,4442.0,20.13,2.16,67348.0,62906.0,9.998495482130533
Оренбургская область,102.57894736842105,23430.833333333332,97.58333333333333,29429.0,101.88333333333333,156.5,187570.1875,6932.421875,10567.65625,13582.0,29209.0,127279.109375,137.71,7.84,222197.16,16.3,3.3,25.9,19.0,2.8,13.4,4.6,1.0,22018.792,1977516.8,21.876923076923074,42.86666666666667,5.8999999999999995,51.199999999999996,180582122.57000002,63033010.95250001,257009857.38666666,19409165.375,500766822.09999996,63039287.6425,322163991.5375,905379266.655,156428.5,25.0,20174.95,22454.75,15745.291666666668,20927.816666666666,9376.575,234319.31666666665,19642.05,11218.925,13017.125,8102.516666666667,2939.6416666666664,481638.01136363635,17583.766666666663,3643.458333333333,2086.3000000000006,16647.7375,4471.158333333333,46902.025,123.7,15.6,-18337.0,-18297.0,-40.0,38.93,1.32,50227.0,50267.0,11.134566340978747
Пензенская область,31.736842105263158,22056.0,98.34999999999998,27877.666666666668,101.28333333333335,89.09,95446.859375,3387.234375,5672.9375,8138.375,15973.65625,62274.65625,170.72,11.18,131569.24,12.7,3.9,23.4,16.9,2.5,8.3,2.3,0.1,11431.598,1329537.2,24.615384615384617,38.833333333333336,8.4,52.833333333333336,101560784.1725,15182047.8225,1026599.5333333333,6365299.6,1310516.0499999998,22272335.0,219651229.27499998,249599379.925,156993.75,21.0,12099.158333333333,18888.216666666667,20604.383333333335,16701.024999999998,8746.941666666666,237156.84999999998,30267.408333333333,11555.191666666666,13564.491666666667,5275.583333333334,953.0416666666667,468187.375,17932.216666666667,3828.3416666666667,3655.958333333334,6808.875,4164.933333333333,38524.200000000004,43.4,29.4,-16836.0,-16202.0,-634.0,30.82,0.88,24145.0,24779.0,8.598178373647613
Самарская область,51.31578947368421,28243.0,96.21666666666668,32428.166666666668,101.14999999999999,228.81,210161.09375,8511.796875,14495.59375,20473.875,38955.4375,127724.390625,99.25,18.79,222191.0,16.7,3.7,24.6,16.9,2.4,14.2,7.0,0.3,33113.39,3188877.4,17.623076923076923,40.53333333333333,4.666666666666667,54.79999999999999,646450014.7233332,88296281.49499999,140649758.235,43516514.6225,321398093.875,127211276.0075,1077986398.2,1570112282.705,203803.375,22.0,17169.175,17990.291666666664,18897.933333333334,27129.375,12797.75,298855.05833333335,25276.183333333334,8637.475,16303.191666666666,6594.65,2777.666666666667,561918.5909090909,20189.7,4855.683333333333,4934.0666666666675,7719.875,3153.5916666666667,51337.16666666667,53.6,58.5,-22444.0,-30177.0,7733.0,20.34,2.15,71398.0,63665.0,10.384027306913712
Саратовская область,56.68421052631579,21397.5,99.13333333333333,26983.166666666668,101.88333333333333,211.22,135113.0625,6233.359375,9956.984375,13588.265625,24971.34375,80363.109375,103.03,7.38,140879.3,15.0,3.7,23.7,17.8,2.5,13.3,6.5,1.7,22393.992,2454140.0,24.03076923076923,39.56666666666666,6.633333333333333,53.833333333333336,201457771.28583333,72236255.24833333,17707827.7125,14753419.850000001,35468509.6,97675384.84,397223946.305,545121260.595,145571.875,25.0,17400.983333333334,17805.516666666666,16690.416666666664,22100.041666666668,11376.441666666666,215383.90833333333,17186.23333333333,10870.766666666666,13003.941666666666,8303.183333333334,3350.241666666667,440399.39924242423,15149.375,3039.208333333333,2808.1250000000005,13723.75,2647.3083333333334,36825.45833333333,101.2,23.3,-34152.0,-29979.0,-4173.0,24.15,1.62,50439.0,54612.0,9.124985534647575
Ульяновская область,28.736842105263158,23282.833333333332,96.45,27494.666666666668,101.10000000000001,114.41,110231.703125,4308.59375,7030.796875,9228.34375,20290.609375,69373.359375,146.13,16.12,138229.25,11.3,1.0,25.7,17.9,2.4,13.2,7.9,0.5,12077.797999999999,1245225.1,21.746153846153845,34.63333333333333,5.5,59.866666666666674,136119263.2775,20045433.276666667,7042442.875,9299930.025,10636486.84,27296490.200000003,276551226.4775,323784133.5425,150406.5,24.0,14647.366666666665,22022.875,20436.7,26620.025,15880.508333333335,258813.60833333334,19969.5,9853.158333333333,15311.825,8801.175000000001,2431.6833333333334,528677.8022727272,26333.700000000004,4999.675,5706.325,6130.575,2655.316666666667,48083.49166666667,37.2,32.4,-14350.0,-13725.0,-625.0,23.62,0.83,24279.0,24904.0,9.699288907684238
Курганская область,47.0,20773.833333333332,95.83333333333333,27134.166666666668,101.46666666666665,72.41,72633.921875,3026.421875,4957.421875,6345.546875,12059.234375,46245.296875,134.54,24.76,119218.7,10.5,3.9,23.0,16.7,2.4,26.1,5.7,0.9,8788.6,848021.1,29.700000000000003,39.56666666666666,4.566666666666666,55.9,58467254.14166666,15639197.663333332,1720030.7166666668,3600096.6575,3381283.325,20621190.39,112741248.485,140343818.85750002,135104.125,24.0,16114.241666666665,26288.833333333336,18760.691666666666,16800.966666666667,13577.48333333333,239994.775,29849.49166666667,10384.258333333333,10403.2,7826.916666666667,1003.6916666666667,514099.6143939394,21414.191666666666,2896.541666666667,2736.2916666666665,18774.3875,6231.9333333333325,51471.200000000004,71.5,11.3,-13060.0,-9378.0,-3682.0,37.48,0.55,26408.0,30090.0,10.363657225038386
Свердловская область,72.21052631578948,36207.333333333336,96.93333333333334,36702.833333333336,100.61666666666667,395.56,270684.375,13330.875,22355.484375,26713.9375,41738.234375,166545.84375,104.07,30.99,240022.08,15.2,3.7,22.8,15.8,2.2,15.1,7.7,0.5,50801.784,4312936.9,15.896153846153847,41.666666666666664,5.533333333333334,52.73333333333333,1033560634.8008332,136894694.525,52225982.925000004,72382575.44500001,82182147.125,244949710.18750003,1953744313.3975,2353258746.155,256127.375,21.0,18608.416666666664,17435.108333333334,13382.216666666665,16591.850000000002,10634.866666666667,206675.50833333333,15669.2,6530.325,12628.366666666669,4999.450000000001,739.825,409774.8628787879,18670.066666666666,2855.8,4599.591666666667,6514.3,2519.016666666667,41612.149999999994,194.3,21.9,-25727.0,-33773.0,8046.0,14.81,2.93,102670.0,94624.0,11.778930500930814
Ханты-Мансийский автономный округ - Югра (Тюменская область),13.222222222222221,50059.5,99.86666666666666,69360.0,99.68333333333334,153.84,50920.234375,3967.859375,5727.15625,6423.5625,11219.8125,23581.84375,121.93,25.13,880545.55,15.4,3.5,22.2,13.9,2.1,17.3,7.3,0.6,22571.4,1644965.9,7.8307692307692305,43.76666666666667,6.2,49.96666666666667,206268934.2658333,153446682.56,2060877262.676667,23989538.15,3320220987.4500003,220242182.79999998,618836550.8924999,4183289259.2925005,247369.625,15.0,17972.916666666668,18270.05,16830.183333333334,23168.93333333333,10649.55,242617.60000000003,23406.233333333334,7240.083333333334,11209.083333333336,6291.325,1078.9499999999998,482535.16893939395,22768.266666666666,3427.5166666666664,3922.15,5899.85,2246.4833333333336,51341.299999999996,534.8,3.2,14586.0,5254.0,9332.0,7.28,1.17,74378.0,65046.0,13.721500245081069
Ямало-Ненецкий автономный округ (Тюменская область),31.894736842105264,78070.5,102.16666666666667,93313.33333333333,102.5,54.53,13647.4375,1270.984375,1444.984375,1734.6875,3236.46875,5960.3125,149.76,18.35,1640576.79,15.2,4.5,21.8,15.5,2.1,17.7,5.4,0.8,7392.4,541501.8,5.75,46.599999999999994,1.1666666666666667,52.166666666666664,116131182.11416668,35516066.115,793156874.4416666,11384815.625,2351223033.225,53939251.0,368252669.38,2784799769.23,252887.25,13.0,24966.458333333332,27567.775,22251.399999999998,29534.00833333333,15260.6,308227.44166666665,33673.325,8081.983333333334,14645.425,7617.474999999999,1744.6416666666669,597971.6545454545,22478.091666666667,4218.908333333334,4798.716666666665,8792.4375,3922.691666666667,45137.3,769.3,0.7,5107.0,3453.0,1654.0,14.17,0.38,29248.0,27594.0,13.651662838424544
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),44.333333333333336,28856.5,99.33333333333333,43150.833333333336,101.3,141.92740740740734,132263.5027221983,5963.832876147446,9320.511764319182,12441.83282833716,22520.017875071717,82017.30737832283,124.82012345679016,14.646419753086418,290910.78,15.7,4.5,23.8,18.1,2.5,21.9,7.6,1.0,19320.4409382716,1480662.2,13.566666666666666,49.46666666666667,3.4000000000000004,47.1,620321168.3599999,46727878.16,167525828.845,13002333.925,218648828.27499998,53001253.010000005,701439790.755,986092205.965,249287.25,20.337349397590362,13624.266666666666,18064.266666666666,12875.7,12849.0,7435.666666666668,200735.33333333334,10222.833333333334,7450.333333333334,10988.266666666666,5098.733333333334,346.1,366681.9666666666,14273.166666666668,3042.7,3217.7999999999997,29603.3,2968.4666666666667,27058.3,160.1,9.7,8759.0,-3010.0,11769.0,31.92,1.07,53685.0,41916.0,13.04851365711342
Челябинская область,86.26315789473684,24744.833333333332,96.91666666666667,34139.5,100.55000000000001,320.25,218645.640625,10918.9375,15600.265625,19041.296875,34165.734375,138919.40625,121.8,27.65,189387.97,16.5,4.9,23.6,16.0,2.2,15.0,8.5,0.5,38493.577999999994,3477221.2,18.065384615384616,42.76666666666667,2.3333333333333335,54.93333333333334,819288691.2933334,76412017.53833334,26881976.949166667,38519361.3075,93129156.525,129556997.4725,1436463755.1,1697669270.405,157864.125,22.0,21516.941666666666,18666.683333333334,18338.85,17683.833333333336,10663.933333333332,249028.33333333334,20336.958333333332,7707.458333333332,12935.108333333334,8877.025,3132.666666666667,496950.0727272727,23207.158333333333,3061.1166666666663,3332.875,7385.7875,5683.916666666667,52937.21666666667,88.5,38.6,-24204.0,-27164.0,2960.0,17.35,2.35,89950.0,86990.0,11.070212616902252
Республика Алтай,34.1578947368421,19304.166666666668,99.95,29151.833333333332,103.38333333333333,16.0,21456.875,981.609375,1689.03125,2102.875,3680.453125,13002.90625,123.62,7.17,107821.5,9.3,4.2,19.5,14.4,2.4,33.4,9.1,1.8,3328.2,216748.3,32.926923076923075,45.666666666666664,4.233333333333333,50.06666666666666,2205491.6475,1567007.5183333333,658582.9916666667,465722.825,2061726.7750000001,2872515.9749999996,4156743.5625,9556709.1375,120897.125,17.0,33950.50833333333,27065.375,11117.516666666666,25420.30833333333,10298.283333333333,178625.39166666666,26521.591666666667,10135.400000000001,16854.449999999997,6159.191666666667,2122.175,427860.6984848485,21917.341666666667,2616.575,2806.1,14578.6375,2144.633333333333,25420.066666666666,92.9,2.4,605.0,51.0,554.0,70.86,0.15,12186.0,11632.0,15.355137733490874
Республика Тыва,56.73684210526316,16124.166666666666,100.78333333333332,34826.166666666664,102.7,59.47,20700.53125,1961.234375,2892.9375,4197.3125,5018.703125,6630.34375,88.15,10.6,92912.78,19.8,7.7,18.8,13.6,2.8,38.4,18.1,7.3,6735.395999999999,320669.0,45.31153846153846,45.9,5.000000000000001,49.1,638144.4,2526852.825,4063951.1833333336,334944.69999999995,22585844.675,4803955.2075000005,529174.255,28253918.8375,73183.75,20.0,17449.408333333333,9549.033333333333,4419.325,12129.083333333334,3768.358333333333,119516.80833333335,11704.375,3921.366666666667,8646.208333333334,8873.941666666666,858.9833333333333,286311.21893939393,21542.941666666666,1076.8833333333332,5219.099999999999,7959.7875,1308.1666666666667,37752.675,168.6,2.0,2241.0,3599.0,-1358.0,45.1,0.23,10746.0,12104.0,21.004200593134975
Республика Хакасия,31.36842105263158,21181.5,99.53333333333332,36441.666666666664,101.51666666666667,57.0,27450.625,1553.46875,2744.8125,3022.515625,4668.234375,15461.59375,120.76,15.88,184767.28,17.0,11.8,25.0,17.9,2.6,10.5,5.0,1.0,6284.796,534566.5,24.180769230769233,38.4,5.333333333333333,56.26666666666667,54853137.04999999,22088194.375,22013351.4,1881975.375,67074184.925000004,51917294.95,96731987.25,217605442.52499998,155407.875,20.0,17961.44166666667,19886.25,17937.249999999996,18750.275,12655.75,183098.55,29433.933333333334,8369.066666666666,13750.5,7249.808333333333,1848.1666666666665,446464.5037878788,22647.79166666667,3140.033333333333,1845.0416666666667,13349.45,2721.2083333333335,54021.533333333326,61.6,8.6,-3698.0,-3266.0,-432.0,29.86,0.36,21395.0,21827.0,11.756808554221037
Алтайский край,120.73684210526316,22480.833333333332,98.10000000000001,24598.0,101.66666666666667,164.56,173039.82539682538,7626.492063492064,13418.015873015873,15295.333333333334,25707.396825396827,110992.58730158731,156.23,27.68,114429.32,13.4,3.3,25.9,18.0,2.4,14.9,6.3,0.2,23795.194,2348123.3,28.965384615384615,39.6,5.133333333333334,55.26666666666667,171140594.6975,31793397.49,3823042.6750000003,9664880.375,7014632.824999999,45471965.17,337589826.13,399741304.42499995,147862.75,26.0,30359.533333333333,23152.049999999996,22918.050000000003,38707.9,12800.425,242160.4583333333,33311.1,14155.941666666666,14447.808333333334,9827.908333333335,1860.708333333333,533283.6174242424,18246.791666666668,4709.741666666667,3428.308333333333,9822.7,7213.758333333333,38480.23333333333,168.0,13.5,-28174.0,-24661.0,-3513.0,42.57,1.56,66800.0,70313.0,10.133707203535693
Красноярский край,116.52631578947368,29723.833333333332,99.78333333333332,44275.833333333336,102.69999999999999,294.97,180321.73015873015,10212.269841269841,15930.52380952381,19153.365079365078,32295.634920634922,102729.93650793651,143.08,23.28,337849.38,12.9,3.8,22.7,16.6,2.3,17.7,7.4,0.8,33650.596,2862169.5,19.426923076923078,39.9,5.866666666666667,54.199999999999996,603309307.8924999,96504783.02416666,197659218.3033333,30496693.88,679192366.95,172422240.635,1373671073.6525002,2255782375.1175003,187296.125,20.0,15108.666666666668,21076.25833333333,17995.324999999997,20356.675000000003,10460.975,193984.49166666667,20426.708333333332,11800.541666666666,13583.191666666666,6184.866666666667,1515.75,435303.13181818184,18801.125,4086.7916666666665,2790.4666666666667,10233.75,3945.1000000000004,48404.4,2366.8,1.2,-6730.0,-18626.0,11896.0,22.11,1.96,128021.0,116125.0,11.757024173446052
