region,ch_mort_rural,per_capita_cash_income,real_incomes,formal_wage_paid,real_pay,ch_mort_urban,total,18_30,31_40,41_50,51_60,60_,alco,drug,grp,all_some_tightness,all_large_tightness,total_area_for_person,living_area_for_person,living_room_count,cond_want_to_improve,improve_tightness,improve_bad_&_tightness_cond,new_born,population,poverty_percent,poverty_under_sixteen,poverty_above_working_age,poverty_working_age,manufacturing_industries_till_2016,energy_provision_till_2016,mining_till_2016,water_supply,mining,energy_provision,manufacturing_industries,industrial_production,retail_turnover,welfare_mean,Pergnancy_period,eye_diseases,muscul_&_connective_tissue_diseases,genitourinary_sys_diseases,nervous_sys_diseases,respiratory_diseases,digestive_sys_diseases,circulastory_sys_diseases,ear_diseases,endocrine_sys_diseases,malformations,all_diseases,infectious,neoplasms,perinatal_period,other_diseases,mental_diseases,injuries,area,population_density,population_general_growth,population_natural_growth,population_migration_growth,urban_population_share,rural_per_1000_city,migration_in,migration_out,new_born_for_1000
Вологодская область,36.36842105263158,27058.5,98.88333333333333,34297.833333333336,102.36666666666667,102.78,95508.515625,2941.359375,5271.265625,7105.5625,15329.828125,64860.5,99.68,9.18,228138.93,9.6,2.9,22.9,16.9,2.2,13.6,3.4,0.3,12704.998,1174751.0,17.86923076923077,38.06666666666667,6.666666666666668,55.23333333333333,354879365.94416666,28731716.145833332,367301.6333333333,8383994.975,669063.05,40798652.67,674438091.52,724289802.215,157430.5,25.0,13258.616666666669,22168.550000000003,16821.716666666667,15240.44166666667,10874.341666666665,305482.93333333335,17816.216666666667,7353.2,18553.075,6624.241666666667,1546.775,543414.3121212121,22218.308333333334,2759.1,1968.033333333333,11495.15,3118.9083333333338,46669.25,144.5,7.9,-11543.0,-10658.0,-885.0,27.13,0.78,23295.0,24180.0,10.81505612678772
Калининградская область,15.473684210526315,27261.166666666668,99.15000000000002,32327.0,99.25,71.19,68798.703125,2761.578125,4389.484375,5888.078125,10831.0,44928.5625,92.16,8.3,204617.41,13.4,5.9,23.1,15.6,2.3,12.4,5.1,1.5,10409.594000000001,990514.5,19.984615384615385,35.83333333333333,10.5,53.63333333333333,258909894.70083335,17959557.593333334,14360526.964999998,6931951.5,17517609.650000002,40667273.05,554925126.585,620041960.7850001,168368.75,10.0,23084.574999999997,18251.24166666667,17865.36666666667,17264.583333333332,10792.15,243180.98333333334,24866.325,7068.8,12430.958333333332,4474.466666666666,3555.2666666666673,459774.9257575758,19485.641666666666,3165.175,2004.6666666666667,10171.275,2843.166666666667,28937.425000000003,15.1,67.9,9054.0,-7026.0,16080.0,22.25,0.71,52778.0,36698.0,10.50927977328954
Ленинградская область,29.57894736842105,30088.166666666668,102.33333333333333,41325.333333333336,101.14999999999999,77.03,134816.28125,4158.265625,7498.25,9914.75,19957.359375,93287.65625,95.91,17.78,264457.96,15.7,4.5,24.7,17.0,2.1,12.2,7.2,1.6,14418.6,1820322.4,21.51923076923077,16.833333333333332,7.8,42.06666666666666,457781189.60666674,84030706.22583333,10427031.123333333,16499354.325,14594450.200000001,144040150.25,1052756373.95,1227890328.725,217592.5,16.0,10808.341666666667,11457.583333333332,10753.258333333333,12550.491666666669,6885.566666666667,215703.8916666667,13470.95,6988.416666666667,9215.033333333333,3764.5916666666662,950.1833333333333,364377.7196969697,14020.9,2686.8166666666666,1740.7583333333332,6358.2125,3426.0166666666664,24981.25833333333,83.9,22.8,18875.0,-19097.0,37972.0,32.84,1.31,108021.0,70049.0,7.920904560642665
Мурманская область,4.166666666666667,40922.5,98.56666666666666,56300.333333333336,101.86666666666666,83.12,28269.859375,1545.640625,2382.046875,3147.859375,4506.234375,16688.078125,114.11,26.15,312435.43,12.7,3.7,23.9,17.7,2.2,18.3,6.8,0.6,7390.197999999999,753786.7,15.803846153846154,39.23333333333333,4.966666666666666,55.73333333333333,85877060.96000001,42853487.425000004,69079713.38333334,9267728.58,136686851.2,57964703.940000005,353013923.45,556933207.175,223746.25,21.0,11401.033333333333,20210.69166666667,20222.208333333332,21731.733333333334,9283.816666666666,282048.5083333333,22796.175,6145.666666666668,14632.766666666666,9072.716666666667,624.2166666666667,535997.6037878788,21714.15,4452.541666666667,4595.341666666667,14100.2375,3372.5,51257.45,144.9,5.0,-8412.0,-5547.0,-2865.0,7.95,0.5,28239.0,31104.0,9.804097100678481
Новгородская область,17.57894736842105,25706.0,95.76666666666665,30229.333333333332,99.26666666666667,47.22,57815.109375,1981.453125,3455.375,4428.796875,9174.40625,38775.078125,154.24,12.1,196229.28,12.5,1.2,25.6,17.6,2.3,12.7,3.9,0.0,5881.394,607702.6,19.51923076923077,31.066666666666663,9.233333333333333,59.666666666666664,114025137.4925,11908951.354166666,1101667.5,3294941.05,1221826.225,20157764.0,198496487.55,223171018.7,189817.125,22.0,11862.983333333334,15031.316666666668,16878.066666666666,17380.375,11419.625,293485.55000000005,27980.8,10133.216666666667,12113.016666666666,6368.174999999999,2234.291666666667,528325.6507575758,17583.524999999998,4158.45,814.9166666666665,10871.975,3355.758333333333,46973.333333333336,54.5,10.8,-6286.0,-8547.0,2261.0,28.14,0.4,23747.0,21486.0,9.678079376326513
Псковская область,19.94736842105263,23780.166666666668,98.08333333333331,25903.166666666668,100.93333333333332,50.41,47622.390625,2184.15625,3723.296875,4585.0625,7771.265625,29358.609375,147.66,11.18,122982.07,14.8,6.0,23.0,15.0,2.1,14.9,6.5,0.0,5887.195999999999,638363.1,23.21153846153846,36.733333333333334,6.333333333333333,56.900000000000006,52075401.19916666,8687586.341666665,577521.4,5282303.75,1959051.65,11748870.575,111416275.9,130406501.875,178524.0,21.0,9438.266666666666,15844.333333333334,11185.324999999997,12246.775000000001,9952.258333333333,249939.46666666667,14221.558333333334,6432.866666666666,10691.883333333331,3718.766666666667,862.4250000000001,429496.4393939394,17406.166666666668,2184.8166666666666,4427.991666666668,5994.3375,3774.05,38961.85833333333,55.4,11.1,-6893.0,-8331.0,1438.0,28.86,0.42,25843.0,24405.0,9.222331303297448
Город Санкт-Петербург город федерального значения,51.46027703479052,43499.0,101.14999999999999,56931.666666666664,102.66666666666667,341.84,572592.859375,13114.96875,20130.828125,28119.0,59009.390625,452218.671875,44.92,18.91,355494.41,14.2,3.7,25.1,15.7,2.1,10.7,5.8,0.1,63572.59199999999,5275463.5,13.926923076923078,17.433333333333334,3.266666666666667,46.0,1383325738.4758334,131436005.96416666,5593340.785833334,66071914.125,29306675.700000003,211623404.925,2520337441.5249996,2827339436.275,260450.875,16.0,13959.850000000002,18574.183333333334,17249.766666666663,22492.375,12589.199999999999,284612.98333333334,19103.925000000003,7877.549999999999,15757.733333333332,6986.258333333333,2122.108333333333,558539.8583333333,27352.0,4125.033333333334,1992.4916666666666,16753.4375,2929.966666666667,62018.941666666666,1.4,3843.8,-6839.0,-30736.0,23897.0,0.0,3.69,198284.0,174387.0,12.050617353337767
Республика Адыгея (Адыгея),18.42105263157895,26924.666666666668,100.25,26584.666666666668,101.66666666666667,27.25,33111.015625,1471.890625,2425.1875,3747.359375,6769.390625,18697.1875,117.07,27.54,107133.49,27.4,5.4,27.0,19.6,3.1,22.1,11.4,3.0,4673.197999999999,454754.1,25.48076923076923,38.56666666666667,11.0,50.43333333333334,21630133.006666664,1978505.1508333331,1390425.5833333335,1750526.5750000002,3066325.625,3044502.0250000004,50554393.625,58415747.85,207161.5,20.0,18477.733333333334,20798.7,14269.0,15539.0,11274.966666666665,143886.13333333333,15226.9,9376.866666666667,13386.866666666667,4527.7,796.0333333333333,354680.3333333334,9490.633333333335,2405.0666666666666,2662.4,31648.399999999998,1462.0,50986.13333333333,7.8,60.1,5173.0,-2724.0,7897.0,52.96,0.32,22910.0,15013.0,10.276318564252636
Республика Калмыкия,18.36842105263158,17105.666666666668,100.41666666666667,25170.833333333332,102.66666666666667,21.28,21294.625,1801.3125,1943.15625,2199.25,4838.34375,10512.5625,87.81,12.11,110568.75,18.0,2.7,30.7,20.2,3.1,7.9,6.5,0.0,3031.2,276019.6,41.79615384615385,24.766666666666666,2.5,39.4,825058.005,1985073.0041666667,1388639.7833333334,14903850.246445788,195542090.9908735,2943488.7249999996,866245.105,5976591.147500001,76250.25,22.0,29714.377777777776,25985.51111111111,24479.06666666667,34001.76666666667,17369.911111111112,459945.30000000005,35459.31111111111,17285.644444444446,21416.8,9232.511111111111,1221.4222222222222,804171.1555555556,30922.822222222225,5185.166666666666,3431.922222222222,28210.0,6156.533333333334,42371.41111111111,74.7,3.6,-2228.0,-954.0,-1274.0,53.57,0.18,11046.0,12320.0,10.981828826648544
Республика Крым,59.285714285714285,20024.166666666668,102.58,28219.0,103.42,141.92740740740734,123502.484375,5288.140625,10515.5625,15501.734375,28008.671875,64188.375,124.82012345679016,14.646419753086418,59827.65,10.9,4.9,27.5,19.0,2.6,10.0,2.8,0.4,19320.4409382716,1734834.1012048197,19.583333333333332,42.43333333333333,6.433333333333334,51.133333333333326,51682504.14333334,23376290.066666666,7821203.416666667,7529568.524999999,12125549.15,39936970.975,92924518.435,152516607.085,128618.875,13.0,12020.366666666667,11505.0,8506.1,13353.133333333333,3486.0,170707.3333333333,6613.966666666666,7966.933333333333,11702.133333333335,7061.166666666667,1433.8666666666666,315427.25,13529.866666666667,2319.666666666667,482.2666666666667,39725.799999999996,1586.0333333333333,26711.0,26.1,72.7,-5185.0,-17528.0,12343.0,49.26,1.3,53891.0,41548.0,11.136765714285767
Краснодарский край,183.94736842105263,34074.5,99.39999999999999,32387.0,100.98333333333333,296.69,424611.85714285716,18650.666666666668,27626.238095238095,40019.69841269841,74018.01587301587,264297.2380952381,82.94,22.24,190935.8,17.9,3.7,26.9,18.1,2.8,15.1,6.7,1.0,64975.78999999999,5557097.4,20.807692307692307,41.4,8.4,50.199999999999996,430656832.24916667,82268821.63916667,18714046.99,30647632.3225,48578062.05,115584589.76499999,958763552.8225,1153573836.96,245824.75,21.0,24253.8,29737.644444444442,30390.066666666666,28160.244444444445,21958.21111111111,326740.3666666667,41195.25555555556,18232.277777777777,24190.477777777778,9711.322222222221,2494.222222222222,700791.8944444444,22488.13333333333,5946.655555555555,4106.7555555555555,28373.885714285716,3843.822222222222,76068.44444444444,75.5,75.3,3431.0,-37212.0,40643.0,44.09,3.91,176448.0,135805.0,11.692397185624277
Астраханская область,36.0,23899.5,96.59999999999998,31866.5,102.33333333333333,95.94,43462.765625,2799.265625,3981.234375,4850.640625,8200.5625,23631.0625,115.07,8.46,186836.0,19.4,3.1,24.9,19.2,2.3,16.4,5.3,0.2,12061.398,1011370.4,20.365384615384617,39.53333333333333,4.7,55.73333333333333,43758382.678333335,15747585.641666666,53711699.40833333,5713025.7975,290498866.85,28662224.7,67181972.225,392056089.5725,172729.0,25.0,25800.71111111111,35231.37777777778,24176.977777777778,35626.33333333333,20873.12222222222,372140.52222222224,30635.48888888889,16163.177777777779,28390.533333333333,12933.055555555557,4104.322222222222,734137.1722222222,28589.81111111111,5279.333333333333,9833.0,19081.571428571428,8032.733333333334,56710.52222222222,49.0,20.2,-8348.0,-5590.0,-2758.0,33.66,0.68,19205.0,21963.0,11.925796918715438
Волгоградская область,73.42105263157895,22899.0,97.73333333333335,29850.666666666668,101.75,213.94,172056.96875,6766.96875,11859.984375,16662.953125,29750.171875,107016.890625,105.53,15.5,161774.26,13.9,3.3,25.6,17.9,2.5,12.1,6.2,0.6,23556.39,2523482.2,19.73846153846154,37.166666666666664,6.966666666666666,55.800000000000004,416016616.91166663,46468436.923333324,33464787.875833333,18490929.3,51153306.375,71067731.9375,821964051.3824999,962676018.995,153452.0,24.0,39203.76666666667,30807.82222222222,21196.955555555556,35791.955555555556,13684.21111111111,435370.89999999997,31041.56666666667,16028.733333333332,23966.1,10914.244444444445,2965.4777777777776,816814.85,31557.877777777776,5008.055555555556,6463.488888888889,33217.57142857143,6056.6,72824.3,112.9,21.7,-24775.0,-27085.0,2310.0,22.37,1.68,57650.0,55340.0,9.33487464266639
Ростовская область,151.52631578947367,28582.5,99.46666666666668,30170.666666666668,101.26666666666665,342.41,350653.171875,15623.0,30333.125,43332.5,76227.625,185136.921875,77.24,10.5,152250.33,12.8,3.5,25.8,18.2,2.8,13.8,6.7,0.5,41639.77999999999,4216542.2,18.95,39.199999999999996,6.033333333333334,54.76666666666667,406288954.31666666,77941878.67083335,16691968.58083333,35008989.025000006,32842315.625,153807890.14499998,850696384.9125,1072355579.6075,217976.125,24.0,30632.066666666666,38520.6,38082.01111111111,48616.833333333336,32988.2,476091.5111111111,53678.63333333334,21255.588888888888,28361.066666666666,12855.277777777777,1859.5222222222221,939915.1888888889,24263.600000000002,6249.3,3315.4,28078.399999999998,3459.211111111111,88956.01111111112,101.0,41.1,-27723.0,-42745.0,15022.0,31.92,2.85,111494.0,96472.0,9.875338138439593
Город федерального значения Севастополь,1.5,26865.833333333332,109.78,29421.5,105.16,141.92740740740734,20196.390625,788.8125,1483.296875,2076.765625,3361.046875,12486.46875,124.82012345679016,14.646419753086418,66155.13,19.7,6.8,21.5,13.7,2.2,6.8,3.9,1.2,19320.4409382716,1734834.1012048197,11.85,41.46666666666667,4.966666666666667,53.5,9843158.233333332,4564392.233333333,457727.26666666666,14903850.246445788,195542090.9908735,9683072.7,14017744.65,28074537.674999997,138725.75,13.0,22628.9,13019.966666666667,10065.233333333334,7032.033333333334,8058.166666666666,187286.63333333336,8306.666666666668,4225.900000000001,11837.6,2338.4,846.6,346522.73333333334,16901.433333333334,3949.0,2779.366666666667,24524.7,1518.0,36527.066666666666,0.9,604.2,12065.0,-3325.0,15390.0,5.78,0.36,32710.0,17320.0,11.136765714285767
Республика Дагестан,338.4736842105263,26623.333333333332,97.89999999999999,24190.166666666668,103.56666666666666,263.28,297790.75,36471.125,44024.890625,59044.53125,77186.125,81064.078125,30.89,16.43,94801.81,23.3,2.8,29.9,22.5,3.6,16.0,7.2,0.7,48645.588,3050591.3,30.815384615384616,40.43333333333333,7.033333333333334,52.5,21447574.55,11324748.274166666,2847845.2125,2125155.1750000003,5012344.35,19621097.549999997,44104514.0,70863111.075,193686.75,25.0,27119.044444444444,49244.57777777778,22411.644444444442,43704.433333333334,22717.222222222223,239588.98888888888,88756.54444444446,15566.077777777778,25575.922222222223,25502.255555555555,2224.0222222222224,762548.2944444445,34209.8,2785.8777777777777,4602.144444444444,57346.885714285716,3650.222222222222,74081.75555555556,50.3,62.7,20554.0,24053.0,-3499.0,54.67,2.17,40176.0,43675.0,15.946281627434
